"","date","borough","syndrome","Ages 0-4 years","Ages 18-64 years","Ages 5-17 years","Ages 65+ years","All age groups","o65","u5","dow","epiyr","jul1.date","day.index"
"1004",2016-05-23,"Citywide","Respiratory",203,600,166,312,1281,312,203,"Monday",2015,2015-07-01,327
"1011",2016-05-24,"Citywide","Respiratory",215,579,164,285,1243,285,215,"Tuesday",2015,2015-07-01,328
"1018",2016-05-25,"Citywide","Respiratory",183,512,125,255,1075,255,183,"Wednesday",2015,2015-07-01,329
"1025",2016-05-26,"Citywide","Respiratory",181,476,123,257,1037,257,181,"Thursday",2015,2015-07-01,330
"1032",2016-05-27,"Citywide","Respiratory",178,478,95,305,1056,305,178,"Friday",2015,2015-07-01,331
"1039",2016-05-28,"Citywide","Respiratory",168,414,92,205,879,205,168,"Saturday",2015,2015-07-01,332
"1046",2016-05-29,"Citywide","Respiratory",186,393,124,194,897,194,186,"Sunday",2015,2015-07-01,333
"1053",2016-05-30,"Citywide","Respiratory",215,498,149,241,1103,241,215,"Monday",2015,2015-07-01,334
"1060",2016-05-31,"Citywide","Respiratory",186,564,150,307,1207,307,186,"Tuesday",2015,2015-07-01,335
"1067",2016-06-01,"Citywide","Respiratory",169,494,134,247,1044,247,169,"Wednesday",2015,2015-07-01,336
"1074",2016-06-02,"Citywide","Respiratory",190,511,118,257,1076,257,190,"Thursday",2015,2015-07-01,337
"1081",2016-06-03,"Citywide","Respiratory",167,490,104,244,1005,244,167,"Friday",2015,2015-07-01,338
"1088",2016-06-04,"Citywide","Respiratory",152,425,90,209,876,209,152,"Saturday",2015,2015-07-01,339
"1095",2016-06-05,"Citywide","Respiratory",201,441,100,218,960,218,201,"Sunday",2015,2015-07-01,340
"1102",2016-06-06,"Citywide","Respiratory",165,577,121,294,1157,294,165,"Monday",2015,2015-07-01,341
"1109",2016-06-07,"Citywide","Respiratory",167,580,111,255,1113,255,167,"Tuesday",2015,2015-07-01,342
"1116",2016-06-08,"Citywide","Respiratory",156,503,83,221,963,221,156,"Wednesday",2015,2015-07-01,343
"1123",2016-06-09,"Citywide","Respiratory",148,528,115,245,1036,245,148,"Thursday",2015,2015-07-01,344
"1130",2016-06-10,"Citywide","Respiratory",163,529,102,233,1027,233,163,"Friday",2015,2015-07-01,345
"1137",2016-06-11,"Citywide","Respiratory",168,407,90,219,884,219,168,"Saturday",2015,2015-07-01,346
"1144",2016-06-12,"Citywide","Respiratory",156,432,93,226,907,226,156,"Sunday",2015,2015-07-01,347
"1151",2016-06-13,"Citywide","Respiratory",192,569,123,300,1184,300,192,"Monday",2015,2015-07-01,348
"1158",2016-06-14,"Citywide","Respiratory",174,560,80,271,1085,271,174,"Tuesday",2015,2015-07-01,349
"1165",2016-06-15,"Citywide","Respiratory",196,503,117,233,1049,233,196,"Wednesday",2015,2015-07-01,350
"1172",2016-06-16,"Citywide","Respiratory",159,504,87,243,993,243,159,"Thursday",2015,2015-07-01,351
"1179",2016-06-17,"Citywide","Respiratory",180,455,77,235,947,235,180,"Friday",2015,2015-07-01,352
"1186",2016-06-18,"Citywide","Respiratory",155,395,80,187,817,187,155,"Saturday",2015,2015-07-01,353
"1193",2016-06-19,"Citywide","Respiratory",179,425,106,187,897,187,179,"Sunday",2015,2015-07-01,354
"1200",2016-06-20,"Citywide","Respiratory",178,546,110,289,1123,289,178,"Monday",2015,2015-07-01,355
"1207",2016-06-21,"Citywide","Respiratory",143,517,103,224,987,224,143,"Tuesday",2015,2015-07-01,356
"1214",2016-06-22,"Citywide","Respiratory",158,458,106,257,979,257,158,"Wednesday",2015,2015-07-01,357
"1221",2016-06-23,"Citywide","Respiratory",172,500,96,214,982,214,172,"Thursday",2015,2015-07-01,358
"1228",2016-06-24,"Citywide","Respiratory",139,451,75,207,872,207,139,"Friday",2015,2015-07-01,359
"1235",2016-06-25,"Citywide","Respiratory",153,357,63,188,761,188,153,"Saturday",2015,2015-07-01,360
"1242",2016-06-26,"Citywide","Respiratory",154,442,94,181,871,181,154,"Sunday",2015,2015-07-01,361
"1249",2016-06-27,"Citywide","Respiratory",170,496,101,275,1042,275,170,"Monday",2015,2015-07-01,362
"1256",2016-06-28,"Citywide","Respiratory",179,524,89,227,1019,227,179,"Tuesday",2015,2015-07-01,363
"1263",2016-06-29,"Citywide","Respiratory",129,468,94,246,937,246,129,"Wednesday",2015,2015-07-01,364
"1270",2016-06-30,"Citywide","Respiratory",145,415,80,196,836,196,145,"Thursday",2015,2015-07-01,365
"1277",2016-07-01,"Citywide","Respiratory",160,427,74,233,894,233,160,"Friday",2016,2016-07-01,0
"1284",2016-07-02,"Citywide","Respiratory",163,374,83,174,794,174,163,"Saturday",2016,2016-07-01,1
"1291",2016-07-03,"Citywide","Respiratory",168,382,86,177,813,177,168,"Sunday",2016,2016-07-01,2
"1298",2016-07-04,"Citywide","Respiratory",160,385,68,213,826,213,160,"Monday",2016,2016-07-01,3
"1305",2016-07-05,"Citywide","Respiratory",161,539,82,279,1061,279,161,"Tuesday",2016,2016-07-01,4
"1312",2016-07-06,"Citywide","Respiratory",123,487,52,228,890,228,123,"Wednesday",2016,2016-07-01,5
"1319",2016-07-07,"Citywide","Respiratory",123,469,74,227,893,227,123,"Thursday",2016,2016-07-01,6
"1326",2016-07-08,"Citywide","Respiratory",110,464,63,242,879,242,110,"Friday",2016,2016-07-01,7
"1333",2016-07-09,"Citywide","Respiratory",116,435,65,196,812,196,116,"Saturday",2016,2016-07-01,8
"1340",2016-07-10,"Citywide","Respiratory",128,431,75,231,865,231,128,"Sunday",2016,2016-07-01,9
"1347",2016-07-11,"Citywide","Respiratory",110,578,71,276,1035,276,110,"Monday",2016,2016-07-01,10
"1354",2016-07-12,"Citywide","Respiratory",138,489,68,230,925,230,138,"Tuesday",2016,2016-07-01,11
"1361",2016-07-13,"Citywide","Respiratory",107,481,61,236,885,236,107,"Wednesday",2016,2016-07-01,12
"1368",2016-07-14,"Citywide","Respiratory",117,418,61,230,826,230,117,"Thursday",2016,2016-07-01,13
"1375",2016-07-15,"Citywide","Respiratory",117,415,68,227,827,227,117,"Friday",2016,2016-07-01,14
"1382",2016-07-16,"Citywide","Respiratory",124,388,53,161,726,161,124,"Saturday",2016,2016-07-01,15
"1389",2016-07-17,"Citywide","Respiratory",157,390,79,208,834,208,157,"Sunday",2016,2016-07-01,16
"1396",2016-07-18,"Citywide","Respiratory",133,533,94,213,973,213,133,"Monday",2016,2016-07-01,17
"1403",2016-07-19,"Citywide","Respiratory",106,427,77,228,838,228,106,"Tuesday",2016,2016-07-01,18
"1410",2016-07-20,"Citywide","Respiratory",105,457,71,211,844,211,105,"Wednesday",2016,2016-07-01,19
"1417",2016-07-21,"Citywide","Respiratory",122,422,69,223,836,223,122,"Thursday",2016,2016-07-01,20
"1424",2016-07-22,"Citywide","Respiratory",97,425,70,206,798,206,97,"Friday",2016,2016-07-01,21
"1431",2016-07-23,"Citywide","Respiratory",112,390,60,214,776,214,112,"Saturday",2016,2016-07-01,22
"1438",2016-07-24,"Citywide","Respiratory",129,365,78,185,757,185,129,"Sunday",2016,2016-07-01,23
"1445",2016-07-25,"Citywide","Respiratory",139,502,68,247,956,247,139,"Monday",2016,2016-07-01,24
"1452",2016-07-26,"Citywide","Respiratory",124,479,91,195,889,195,124,"Tuesday",2016,2016-07-01,25
"1459",2016-07-27,"Citywide","Respiratory",112,460,95,190,857,190,112,"Wednesday",2016,2016-07-01,26
"1466",2016-07-28,"Citywide","Respiratory",112,430,72,190,804,190,112,"Thursday",2016,2016-07-01,27
"1473",2016-07-29,"Citywide","Respiratory",122,411,63,212,808,212,122,"Friday",2016,2016-07-01,28
"1480",2016-07-30,"Citywide","Respiratory",126,418,79,164,787,164,126,"Saturday",2016,2016-07-01,29
"1487",2016-07-31,"Citywide","Respiratory",134,391,80,180,785,180,134,"Sunday",2016,2016-07-01,30
"1494",2016-08-01,"Citywide","Respiratory",144,532,93,220,989,220,144,"Monday",2016,2016-07-01,31
"1501",2016-08-02,"Citywide","Respiratory",137,505,82,232,956,232,137,"Tuesday",2016,2016-07-01,32
"1508",2016-08-03,"Citywide","Respiratory",113,493,80,196,882,196,113,"Wednesday",2016,2016-07-01,33
"1515",2016-08-04,"Citywide","Respiratory",110,440,80,172,802,172,110,"Thursday",2016,2016-07-01,34
"1522",2016-08-05,"Citywide","Respiratory",117,478,63,209,867,209,117,"Friday",2016,2016-07-01,35
"1529",2016-08-06,"Citywide","Respiratory",117,460,74,168,819,168,117,"Saturday",2016,2016-07-01,36
"1536",2016-08-07,"Citywide","Respiratory",122,406,62,169,759,169,122,"Sunday",2016,2016-07-01,37
"1543",2016-08-08,"Citywide","Respiratory",130,547,84,218,979,218,130,"Monday",2016,2016-07-01,38
"1550",2016-08-09,"Citywide","Respiratory",133,518,71,230,952,230,133,"Tuesday",2016,2016-07-01,39
"1557",2016-08-10,"Citywide","Respiratory",128,517,69,200,914,200,128,"Wednesday",2016,2016-07-01,40
"1564",2016-08-11,"Citywide","Respiratory",118,466,60,224,868,224,118,"Thursday",2016,2016-07-01,41
"1571",2016-08-12,"Citywide","Respiratory",111,433,57,192,793,192,111,"Friday",2016,2016-07-01,42
"1578",2016-08-13,"Citywide","Respiratory",146,407,65,187,805,187,146,"Saturday",2016,2016-07-01,43
"1585",2016-08-14,"Citywide","Respiratory",130,401,72,171,774,171,130,"Sunday",2016,2016-07-01,44
"1592",2016-08-15,"Citywide","Respiratory",105,561,80,240,986,240,105,"Monday",2016,2016-07-01,45
"1599",2016-08-16,"Citywide","Respiratory",120,527,78,211,936,211,120,"Tuesday",2016,2016-07-01,46
"1606",2016-08-17,"Citywide","Respiratory",130,482,87,197,896,197,130,"Wednesday",2016,2016-07-01,47
"1613",2016-08-18,"Citywide","Respiratory",122,427,75,217,841,217,122,"Thursday",2016,2016-07-01,48
"1620",2016-08-19,"Citywide","Respiratory",114,457,70,235,876,235,114,"Friday",2016,2016-07-01,49
"1627",2016-08-20,"Citywide","Respiratory",112,375,78,183,748,183,112,"Saturday",2016,2016-07-01,50
"1634",2016-08-21,"Citywide","Respiratory",130,447,64,161,802,161,130,"Sunday",2016,2016-07-01,51
"1641",2016-08-22,"Citywide","Respiratory",119,529,71,251,970,251,119,"Monday",2016,2016-07-01,52
"1648",2016-08-23,"Citywide","Respiratory",117,505,81,217,920,217,117,"Tuesday",2016,2016-07-01,53
"1655",2016-08-24,"Citywide","Respiratory",130,504,70,234,938,234,130,"Wednesday",2016,2016-07-01,54
"1662",2016-08-25,"Citywide","Respiratory",116,440,56,195,807,195,116,"Thursday",2016,2016-07-01,55
"1669",2016-08-26,"Citywide","Respiratory",111,461,36,206,814,206,111,"Friday",2016,2016-07-01,56
"1676",2016-08-27,"Citywide","Respiratory",113,382,75,191,761,191,113,"Saturday",2016,2016-07-01,57
"1683",2016-08-28,"Citywide","Respiratory",125,404,72,181,782,181,125,"Sunday",2016,2016-07-01,58
"1690",2016-08-29,"Citywide","Respiratory",123,554,68,251,996,251,123,"Monday",2016,2016-07-01,59
"1697",2016-08-30,"Citywide","Respiratory",111,499,70,216,896,216,111,"Tuesday",2016,2016-07-01,60
"1704",2016-08-31,"Citywide","Respiratory",112,505,63,210,890,210,112,"Wednesday",2016,2016-07-01,61
"1711",2016-09-01,"Citywide","Respiratory",103,467,40,227,837,227,103,"Thursday",2016,2016-07-01,62
"1718",2016-09-02,"Citywide","Respiratory",109,436,61,208,814,208,109,"Friday",2016,2016-07-01,63
"1725",2016-09-03,"Citywide","Respiratory",116,398,66,174,754,174,116,"Saturday",2016,2016-07-01,64
"1732",2016-09-04,"Citywide","Respiratory",114,395,81,151,741,151,114,"Sunday",2016,2016-07-01,65
"1739",2016-09-05,"Citywide","Respiratory",129,461,69,200,859,200,129,"Monday",2016,2016-07-01,66
"1746",2016-09-06,"Citywide","Respiratory",113,521,60,248,942,248,113,"Tuesday",2016,2016-07-01,67
"1753",2016-09-07,"Citywide","Respiratory",85,506,53,235,879,235,85,"Wednesday",2016,2016-07-01,68
